Timestamp,Interface,Mbps,Latency,Jitter,Loss
14:51:35,Video Slice (10 Mbps),0.0,2.225,2.463,0.0
14:51:35,Standard Slice (1 Mbps),0.003,2.277,2.968,0.0
14:51:40,Video Slice (10 Mbps),0.0,0.049,0.001,0.0
14:51:40,Standard Slice (1 Mbps),0.002,0.049,0.004,0.0
14:51:46,Video Slice (10 Mbps),0.0,0.093,0.06,0.0
14:51:46,Standard Slice (1 Mbps),0.002,0.053,0.006,0.0
14:51:51,Video Slice (10 Mbps),0.0,0.049,0.003,0.0
14:51:51,Standard Slice (1 Mbps),0.002,0.135,0.122,0.0
14:51:56,Video Slice (10 Mbps),0.0,0.048,0.003,0.0
14:51:56,Standard Slice (1 Mbps),0.002,0.057,0.013,0.0
14:52:02,Video Slice (10 Mbps),0.0,0.126,0.107,0.0
14:52:02,Standard Slice (1 Mbps),0.002,0.055,0.009,0.0
14:52:08,Video Slice (10 Mbps),0.0,0.05,0.002,0.0
14:52:08,Standard Slice (1 Mbps),0.002,0.046,0.003,0.0
14:52:14,Video Slice (10 Mbps),0.0,0.05,0.001,0.0
14:52:14,Standard Slice (1 Mbps),0.002,0.061,0.011,0.0
14:52:20,Video Slice (10 Mbps),0.0,0.05,0.007,0.0
14:52:20,Standard Slice (1 Mbps),0.002,0.052,0.004,0.0
14:52:25,Video Slice (10 Mbps),0.0,0.049,0.001,0.0
14:52:25,Standard Slice (1 Mbps),0.002,0.056,0.012,0.0
14:52:31,Video Slice (10 Mbps),0.0,0.05,0.005,0.0
14:52:31,Standard Slice (1 Mbps),0.002,0.055,0.004,0.0
14:52:37,Video Slice (10 Mbps),0.0,0.051,0.003,0.0
14:52:37,Standard Slice (1 Mbps),0.002,0.051,0.005,0.0
14:52:42,Video Slice (10 Mbps),0.0,0.05,0.005,0.0
14:52:42,Standard Slice (1 Mbps),0.002,0.053,0.01,0.0
14:52:48,Video Slice (10 Mbps),0.0,0.048,0.0,0.0
14:52:48,Standard Slice (1 Mbps),0.002,0.051,0.007,0.0
14:52:54,Video Slice (10 Mbps),0.0,0.078,0.028,0.0
14:52:54,Standard Slice (1 Mbps),0.002,0.045,0.004,0.0
14:53:00,Video Slice (10 Mbps),0.0,0.057,0.005,0.0
14:53:00,Standard Slice (1 Mbps),0.002,0.131,0.114,0.0
14:53:06,Video Slice (10 Mbps),0.0,0.049,0.002,0.0
